,category_id,name,district,address,latitude,longitude,work_time,price,phone_number,image_url,SNS url,page_url,description,책방 구분명
397,,월드매거진,강남구,논현로149길 75,37.51634813,127.0227586,,무료,0507-1414-6922,,http://www.instagram.com/worldmag.co.kr,http://www.magazinebook.co.kr,,새책방      
404,,은평문고,은평구,은평구 응암로 188 2층,37.58962535,126.9173805,,무료,0507-1376-5861,,,,,새책방      
406,,이나영책방,관악구,관악구 신사로 66-1 3층,37.48545486,126.9103316,,무료,0507-1498-4402,"https://image.bookshopmap.com/600,fit,q60/venue/nayounggam__206747364_1102030416872394_6945828864320909485_n.jpg?ver=1624772837",https://www.instagram.com/nayounggam_,,,새책방      
410,,이마녀 중국어 스프,마포구,마포구 어울마당로5길 52 2층,37.55008433,126.9179802,,무료,02-333-1314,,https://www.instagram.com/witchlee_chinese/,http://hululuc.com/,,새책방      
416,,일등서점,관악구,관악구 신림로128 지하1층,37.47148749,126.935262,,무료,070-4151-3007,,,,,새책방      
422,,자매서점,광진구,용마산로22길 19,37.56372452,127.0880314,,무료,02-457-3078,,https://www.facebook.com/Daewonsisters,,,새책방      
424,,자연책사랑,영등포구,영등포구 의사당대로97,37.52251614,126.924586,,무료, 02-783-1949 ,,https://blog.naver.com/jayun/222052792270,,,새책방      
428,,전농서적,동대문구,동대문구 사가정로 119,37.57792922,127.0582716,,무료,02-2245-2248,,,,,새책방      
429,,정다운문고,마포구,대흥로 94 크로바빌딩,37.54811146,126.9424459,,무료,02-703-2666,,,,,새책방      
431,,정용서점,종로구,종로구 율곡로22길 20,37.57428634,127.0054828,,무료,02-2266-7772,,,,,새책방      
434,,정의문고,도봉구,도봉구 노해로49길 69-4 ,37.65236471,127.0322852,,무료,02-907-4775,,,,,새책방      
436,,제일서점,영등포구,영등포구 의사당대로1 국회소통관,37.53291197,126.9164039,,무료, 02-780-6306 ,,,,,새책방      
437,,제일서점,종로구,종로 258-2 가로판매대,37.5706569,127.0064795,,무료,02-2279-7236,,,,,새책방      
438,,제일서점,동작구,동작구 노량진로16길 30 2층,37.51229097,126.9439375,,무료,02-822-3191,,,http://www.jeilbook.com/,,새책방      
