,분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(X좌표),경도(Y좌표),유무료,문화포털상세URL
92,교육/체험,종로구,국가유산 달빛산책 [조선 궁궐의 목재와 석재 이야기],2023-10-20~2023-10-27,(이론교육) 국립고궁박물관 고궁 강당(본관) / (현장답사) 경복궁,기타,누구나,,김서울 작가,조선 궁궐에 쓰인 목재와 석재의 특성을 알아보고 달빛 아래 경복궁을 답사,,https://nuch.ac.kr/mep/ots/edu/list.do?mnuBaseId=MNU0000779&topBaseId=MNU0000740,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=885a234ac84e43eb9156ef8640e5574b&thumb=Y,2023-10-06,기관,00:00.0,00:00.0,기타,37.57659162,126.9749748,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143618&menuNo=200011
93,축제-자연/경관,강서구,[서울식물원] 누군가의 식물원 3_향기로운 식물원,2023-10-20~2023-10-22,서울식물원 일대,서울식물원,전체관람가,,,,,https://botanicpark.seoul.go.kr/front/board/newsView.do?sn=11381&searchCondition=&searchKeyword=&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=309617d4a84d481fa7070284eb8ab038&thumb=Y,2023-10-16,기관,00:00.0,00:00.0,기타,37.56965709,126.8350072,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143714&menuNo=200010
94,축제-문화/예술,양천구,[서서울예술교육센터] 2023 열린지역축제 「오! 해피데이」,2023-10-20~2023-10-21,서서울예술교육센터,서울문화재단,10.20.(금) 지역 아동?청소년 관련 업무 종사자 /  10.21.(토) 아동?청소년 포함 서울시민 누구나,,,,,https://www.sfac.or.kr/opensquare/artspace_news.do?cbIdx=983&bcIdx=134766&type=view,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=15249b057f0f4b2dbc66cddd2d2b1d03&thumb=Y,2023-10-11,기관,00:00.0,00:00.0,기타,37.52821978,126.8321453,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143641&menuNo=200010
95,뮤지컬/오페라,강동구,[강동문화재단] 2023 서울오페라페스티벌 세비야의 이발사,2023-10-20~2023-10-21,강동아트센터 대극장 한강 ,강동문화재단,8세 이상 관람 ,"R석 70,000원 S석 50,000원 A석 30,000원 ",,,,https://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1994&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ab0a0e26a6394de2abad46783eef32bc&thumb=Y,2023-09-13,기관,00:00.0,00:00.0,기타,37.55122046,127.1573425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143304&menuNo=200008
96,클래식,송파구,2023 서울시향 최하영의 로코코 주제에 의한 변주곡,2023-10-20~2023-10-20,롯데콘서트홀,서울시립교향악단,초등학생 이상 입장 (미취학아동 입장불가),"R석 10만원, S석 8만원, A석 5만원, B석 3만원, C석 1만원",,,,https://www.seoulphil.or.kr/perf/view?perfNo=5257&calendarDate=&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6be526731ecd4419ac399a31fa980878&thumb=Y,2023-10-04,기관,00:00.0,00:00.0,기타,37.51375196,127.1044469,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143575&menuNo=200008
97,콘서트,관악구,2023 관악아트홀 콘서트 G-WAVE,2023-10-20~2023-10-20,관악아트홀 공연장,관악문화재단,만 8세 이상,"R석 30,000원 S석 20,000원",,,,https://gfac.or.kr/site/main/performance/79/view,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=720970e6ea5945beac0ada481b14d31a&thumb=Y,2023-09-21,기관,00:00.0,00:00.0,기타,37.475437,126.941541,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143431&menuNo=200008
98,국악,중구,[세종문화회관] 대한민국국악관현악축제_강원특별자치도립국악관현악단,2023-10-20~2023-10-20,세종M씨어터,세종문화회관,취학아동이상,무료,,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34467&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b3d006466e2b42308388a68459674e8c&thumb=Y,2023-09-12,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143274&menuNo=200008
99,클래식,성동구,[오페라 아리아의 밤] 톡톡 클래식 위대한 작곡가 Ⅳ 우리가 사랑한 클래식,2023-10-20~2023-10-20,소월아트홀,성동문화재단,초등학생 이상,"전석 20,000원",,,,https://www.sdfac.or.kr/kor/sdfac/performance/plan_view.do?p_idx=933&page=2&p_kind=&s_idx=&s_keyword=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f53897751db446518581d138bdfc48ff&thumb=Y,2023-09-20,기관,00:00.0,00:00.0,,37.5593204,127.036016,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143413&menuNo=200008
100,독주/독창회,종로구,김태훈 플루트 독주회,2023-10-20~2023-10-20,세종체임버홀,세종문화회관,7세 이상 (2016년 12월 31일 출생자까지),"S석 50,000원 / A석 30,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34523&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=094517b70e6a412f8f7870e5da3cebea&thumb=Y,2023-10-16,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143728&menuNo=200008
101,클래식,강북구,김성신 피아노독주회,2023-10-20~2023-10-20,꿈의숲 콘서트홀,세종문화회관,8세 이상,전석초대,,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34640&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4b7eac83eba7439ebb4164cd2ae79cdd&thumb=Y,2023-10-16,기관,00:00.0,00:00.0,,37.62025446,127.0443247,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143729&menuNo=200008
102,교육/체험,송파구,"[서울책보고] 인문학강연 10월 과학, 신을 꿈꾸는 인간_이시한 작가",2023-10-20~2023-10-20,서울책보고 (서울시 송파구 오금로 1 / 2호선 잠실나루역 1번 출구 방향),서울책보고,관심 있는 시민 누구나 (선착순50명),,,,,https://seoulbookbogo.kr/front/index.php?g_page=community&m_page=community01&page=1&bb_code=70rp0pk00l57357&view=read&wd=10,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=30f56351154c4df8ab80d350ca4ccf40&thumb=Y,2023-10-06,기관,00:00.0,00:00.0,,37.5223926,127.102983,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143621&menuNo=200011
103,전시/미술,강서구,[서울식물원] 보타닉 메이즈: 식물은 살아있다,2023-10-19~2024-02-25,"식물문화센터 2층, 프로젝트홀2",서울식물원,누구나,,,,,https://botanicpark.seoul.go.kr/front/lookaround/exhibit_view20.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=35f417793f6f4463967d28d0dd50d69f&thumb=Y,2023-10-16,기관,00:00.0,00:00.0,기타,37.56965709,126.8350072,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143711&menuNo=200009
104,전시/미술,종로구,입 없는 저 사람 말문 열기 전,2023-10-19~2023-11-12,"아트라운지 선선 2F, 3F, 루프탑",기타,누구나,,,,,https://mindboom.co.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9629454b7cae49b78fb2e3e8e8b9ab24&thumb=Y,2023-10-12,시민,00:00.0,00:00.0,,37.61380814,126.974459,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143665&menuNo=200009
105,클래식,종로구,바리톤 지광윤 독창회,2023-10-19~2023-10-19,세종체임버홀,세종문화회관,만 7세이상,"전석 20,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34474&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fa17484a245946b9ba125172130272a5&thumb=Y,2023-10-16,기관,00:00.0,00:00.0,,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143727&menuNo=200008
106,콘서트,서초구,2023 재즈페스타 Fall in Jazz [재즈 콜렉티브 마리아킴 Quartet],2023-10-19~2023-10-19,서초문화재단 반포심산아트홀,서초문화재단,8세 이상,"전석 1만원(서초구민 60%/ 서초문화재단 홈페이지 회원, 학생, 경로 50%)","피아노&보컬 마리아킴, 베이스 김대호, 색소폰 김지석, 드럼 최보미","한국 대중음악상에 빛나는 재즈피아니스트 이자 보컬리스트 마리아킴이 펼치는 앙상블 마리아킴 재즈 콜렉티브 (Maria Kim Jazz Collective) 가 새로운 컨셉의 보컬 재즈 공연을 선보인다. 재즈계 섭외 0순위의 대체불가한 피아니스트이자 보컬리스트인 마리아킴을 필두로 베이스, 드럼 국내 최정상 리듬섹션 연주자들과 더불어 색소폰의 관악 연주가 더해진 구성은 50년대 이후의 포스트모던 재즈 사운드를 구현하며 에너지 넘치는 선곡으로 관객을 흥겹게 들썩이게 한다.",,https://www.seochocf.or.kr/site/main/seocho/show/view?show_idx=611,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8979e541db0a41f8bac640197e1071b4&thumb=Y,2023-09-12,기관,00:00.0,00:00.0,기타,37.49883446,126.9912425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143293&menuNo=200008
107,국악,중구,[세종문화회관] 대한민국국악관현악축제_대구시립국악단,2023-10-19~2023-10-19,세종M씨어터,세종문화회관,취학아동 이상,무료,,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34466&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=857f0b0b47b34d0fa5973140ebbac6a9&thumb=Y,2023-09-12,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143279&menuNo=200008
108,콘서트,강남구,"[강남문화재단] 제969회 목요예술무대 - 일곱 번째 파장, 홍진호&박현수의 시네마 파라디소",2023-10-19~2023-10-19,강남씨어터,강남문화재단,7세 이상 관람가,"전석 20,000원",,,,https://www.gangnam.go.kr/office/gfac/board/gfac_perform09/list.do?mid=gfac_perform02,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=91a2b5cb42dd44daa5fbf54487951a9b&thumb=Y,2023-09-22,기관,00:00.0,00:00.0,기타,37.49537321,127.0332838,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143450&menuNo=200008
109,뮤지컬/오페라,강동구,[강동문화재단] 2023 서울오페라페스티벌 영화 속의 오페라,2023-10-19~2023-10-19,강동아트센터 소극장 드림,강동문화재단,8세 이상 관람,"R석 20,000원 S석 10,000원 ",,,,https://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1988&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=33e2284b938d42dab6217eb9a7032cb3&thumb=Y,2023-09-13,기관,00:00.0,00:00.0,기타,37.55122046,127.1573425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143302&menuNo=200008
110,클래식,성동구,[청계천박물관] 10월 문화가 흐르는 청계천의 밤,2023-10-18~2023-11-18,청계천박물관 3층 강당,청계천박물관,전체관람가,,,,,https://museum.seoul.go.kr/cgcm/board/NR_boardList.do?bbsCd=1018,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e1844d22738146539076917c12d7c38b&thumb=Y,2023-09-22,기관,00:00.0,00:00.0,기타,37.57126617,127.0350432,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143456&menuNo=200008
111,축제-문화/예술,광진구,[광진문화재단] 2023 나루 커넥트 클래식 페스티벌,2023-10-18~2023-11-17,나루아트센터 대공연장 / 소공연장,광진문화재단,공연별 상이,"전석 20,000원",,,,https://www.naruart.or.kr/exhibition/program_view.php?idx=10017,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7adaac62a1944b92b165283d7d75f66d&thumb=Y,2023-09-07,기관,00:00.0,00:00.0,기타,37.53782227,127.0704338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143186&menuNo=200010
112,교육/체험,동작구,[동작문화재단 문화예술교육 프로그램] 산책가의 그린(green)일기,2023-10-18~2023-11-15,동작아트갤러리 및 보라매공원,동작문화재단,자연미술을 경험하고자 하는 누구나,무료,,자연미술로 기록하는 산책일기,,http://www.idfac.or.kr/bbs/board.php?bo_table=notice&wr_id=218,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=25b8553900484ba6a22b27dab4694ad9&thumb=Y,2023-09-27,기관,00:00.0,00:00.0,기타,37.49379251,126.9231084,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143530&menuNo=200011
113,전시/미술,종로구,覺(각) · 各(각) · 形(형) · 像(상)전,2023-10-18~2023-10-24,세종미술관 2관,세종문화회관,연령제한 없음,,,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34647&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8487e4ce9cf24a8db45c695aca4bbd32&thumb=Y,2023-10-16,기관,00:00.0,00:00.0,,37.5726241,126.9760053,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143726&menuNo=200009
114,국악,중구,[세종문화회관] 대한민국국악관현악축제_전주시립국악단,2023-10-18~2023-10-18,세종M씨어터,세종문화회관,취학아동이상,무료,,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34465&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cf5fe4bf62fa4edaae2eb217cc58d3b6&thumb=Y,2023-09-12,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143281&menuNo=200008
115,클래식,강북구,이초아&오효희 조인트 리사이틀,2023-10-18~2023-10-18,꿈의숲 콘서트홀,세종문화회관,8세이상 입장가능,"전석 10,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34555&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6ddf1b818f1d47a6bfbd37c29d59565a&thumb=Y,2023-10-16,기관,00:00.0,00:00.0,기타,37.62025446,127.0443247,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143718&menuNo=200008
116,축제-기타,마포구,[M클래식 축제] 마포공연예술관광페스티벌 피아니스트 송영민의 [수아레 콘서트],2023-10-18~2023-10-18,마포아트센터 아트홀 맥,마포문화재단,8세 이상,"전석 20,000원","송연민, 고상지, 박건우, 안동영",,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2224&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8adbe3fef53242e8a3b7d87ac21e51da&thumb=Y,2023-07-06,기관,00:00.0,00:00.0,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142301&menuNo=200010
117,독주/독창회,종로구,소프라노 윤예지 독창회,2023-10-18~2023-10-18,세종체임버홀,세종문화회관,만7세 이상 입장가능,"전석 20,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34504&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bbd77bab2fb74350aff77380d7292815&thumb=Y,2023-10-16,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143720&menuNo=200008
118,콘서트,강동구,"[강동문화재단] 2023 서울오페라페스티벌, 영상 가곡 콘서트 위대한 청춘",2023-10-18~2023-10-18,강동아트센터 소극장 드림,강동문화재단,8세 이상 관람,"R석 20,000원 S석 10,000원",,,,https://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1993&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4b270c7d468d4ee7a24d9356c3b6aea1&thumb=Y,2023-09-13,기관,00:00.0,00:00.0,기타,37.55122046,127.1573425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143300&menuNo=200008
119,교육/체험,용산구,[서울예술교육센터] 예술상상 오아시스 이야기를 품은 의자 예술교육,2023-10-17~2023-12-30,서울문화예술교육센터 용산 1층 (서울시 용산구 서빙고로17),서울문화재단,상세페이지 참고 ,,,,,https://www.sfac.or.kr/artspace/artspace/artsedu_notice.do?cbIdx=1019&bcIdx=134800&type=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=67140639709e469daa31f1d687148f23&thumb=Y,2023-10-13,기관,00:00.0,00:00.0,가족 문화행사,37.52637555,126.9665363,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143691&menuNo=200011
120,교육/체험,양천구,"[서서울예술교육센터] 2023 서울시민예술학교 나의 낭만 아바타 (in 서서울예술교육센터, 강서아트리움)",2023-10-17~2023-11-21,"서서울예술교육센터, 강서아트리움",서울문화재단,인형극의 기능성을 탐색하고 실험하는 것에 관심 있는 성인 20명 내외,,,,,https://blog.naver.com/wsartedu2697/223218662912,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d87de2fa023c46ec94b84b5f39942fb9&thumb=Y,2023-09-25,기관,00:00.0,00:00.0,기타,37.52821978,126.8321453,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143497&menuNo=200011
121,교육/체험,종로구,[서울시립미술관] 아티스트 토크 미술가의 작업실-아카이브 엿보기,2023-10-17~2023-10-31,서울시립 미술아카이브 배움동 모두의 교실,서울시립미술관,성인,,,,,https://sema.seoul.go.kr/kr/whatson/event/detail?evtNo=1229974,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ea68856dbed443a3a2ae086f0df58d67&thumb=Y,2023-10-04,기관,00:00.0,00:00.0,기타,37.60802938,126.9721142,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143572&menuNo=200011
122,교육/체험,양천구,[건강힐링센터10월 원데이 HAB-it] 나를 찾아서,2023-10-17~2023-10-19,건강힐링문화관 3층 다목적실,양천구청,성인 각 15명,"5,000원/1인",,,,https://www.yangcheon.go.kr/healing/healing/ex/lecture/List.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7678b0deef8042ea93996d2001345c53&thumb=Y,2023-09-18,기관,00:00.0,00:00.0,기타,37.51757901,126.8458736,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143361&menuNo=200011
123,뮤지컬/오페라,종로구,브랜든리 심포니 OST 콘서트,2023-10-17~2023-10-18,세종대극장,세종문화회관,7세 이상 관람가,"VIP석 132,000원 / R석 110,000원 / S석 88,000원 / A석 66,000원 / B석 44,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34476&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f38206dd2a6c4f468bf1cceb2ced5300&thumb=Y,2023-10-16,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143717&menuNo=200008
131,교육/체험,도봉구,[도봉문화재단] 2023 일상문화 활성화 사업[ 일상예술테이블],2023-10-16~2023-11-30,"씨알방학간, 도봉오랑, 문화공간 가치, 마을극장 흰고무신, 인더보썸 공방",도봉문화재단,누구나,클래스별 상이 ※자세한 사항은 도봉문화재단 누리집 확인,,,,https://bit.ly/3PKsE73,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=061599b024204a439fd8a6b272c294f8&thumb=Y,2023-10-09,기관,00:00.0,00:00.0,기타,37.66400647,127.043019,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143627&menuNo=200011
132,교육/체험,양천구,"[서서울예술교육센터] 2023 서울시민예술학교 피지컬씨어터 [몸짓으로 쓰는 이야기] (in 서서울예술교육센터, 구립영등포아트스퀘어)",2023-10-16~2023-11-22,"서서울예술교육센터, 구립영등포아트스퀘어",서울문화재단,삶의 이야기를 움직임으로 표현해보고 타인과 공감하고 싶은 성인 15명 내외,,,,,https://blog.naver.com/wsartedu2697/223218662487,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=390af4c0cd2143b5b8c06f123191d4c3&thumb=Y,2023-09-25,기관,00:00.0,00:00.0,기타,37.52821978,126.8321453,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143496&menuNo=200011
133,교육/체험,강북구,삼각산문화공감 도전! 나도 시니어 영상 작가! 스마트폰 영상 만들기,2023-10-16~2023-11-06,삼각산시민청 2동 워크숍룸1,삼각산시민청,전 회차 참여 가능한 만 50세 이상 서울시민 누구나,,,,,https://sg.seoulcitizenshall.kr/?r=sg&m=reserve&cate=%EC%A0%84%EC%B2%B4&catesub=&mod=view&p=1&uid=1695&catepro=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=97c0a639114a4efbaa33f9df7148a981&thumb=Y,2023-10-04,기관,00:00.0,00:00.0,어르신 문화행사,37.65615469,127.0130917,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143569&menuNo=200011
134,전시/미술,강남구,[강남문화재단과 함께하는 초대전] space time gangnam (스페이스 타임 강남),2023-10-16~2023-10-31,"강남 전시실,주소:서울특별시 강남구 역삼로7길 16, 역삼1문화센터 1층",강남문화재단,누구나,,소은명 작가,,,https://www.admgallery.co.kr/exhibition,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a95ef802182142909860f74fbc0c9800&thumb=Y,2023-10-10,시민,00:00.0,00:00.0,문화가 있는 날,37.49537321,127.0332838,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143631&menuNo=200009
135,전시/미술,종로구,2023년 릴레이 기증 작품展 [저작물을 담다],2023-10-16~2023-10-22,갤러리 240 (서울특별시 종로구 창경궁로 240-37 2F),기타,전 연령,,,,,https://gongu.copyright.or.kr/gongu/bbs/B0000001/view.do?nttId=4349&menuNo=200038&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a8e0288eef75419eae63e2013736d079&thumb=Y,2023-10-13,기관,00:00.0,00:00.0,기타,37.58217664,126.998582,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143678&menuNo=200009
137,교육/체험,성동구,[서울하수도과학관] 크게 보는 작은 세계: 미생물 관찰하기,2023-10-15~2023-12-10,서울하수도과학관,서울하수도과학관,초등 3~6학년,무료,,1. 현미경의 역사와 사용법 이해하기 2. 현미경으로 표본 관찰하기,,https://sssmuseum.org/main/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9bd9ab269d964aaa9052ba0ce8556c6a&thumb=Y,2023-09-15,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.5570865,127.0580683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143344&menuNo=200011
146,교육/체험,성동구,[서울하수도과학관] 맨홀은 왜 둥글지?,2023-10-14~2023-12-09,서울하수도과학관,서울하수도과학관,초등학생,무료,,"(저학년) 맨홀의 뜻과 역할, 나만의 역사 맨홀 만들기/ (고학년) 맨홀의 뜻과 역할, 3D펜을 이용한 맨홀 탐사, 3D펜을 이용한 맨홀 탐사 자동차 만들기",,https://sssmuseum.org/main/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=424d89fad90043bd97ed5dcd15c41664&thumb=Y,2023-09-15,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.5570865,127.0580683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143345&menuNo=200011
147,교육/체험,성동구,[서울하수도과학관 ] 물 속으로 퐁!퐁!퐁!,2023-10-14~2023-12-09,서울하수도과학관,서울하수도과학관,6~7세 미취학 유아 동반 가족,무료,,환경오염과 깨끗한 물의 중요성 이해,,https://sssmuseum.org/main/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5b68ddd3c98f468ba312fcfa999d8f9c&thumb=Y,2023-09-15,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.5570865,127.0580683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143336&menuNo=200011
148,전시/미술,구로구,"[일러스트 오마주 전시] 캐릭터, 명화에 빠지다 - 도우도우 x 메롱해치 x 냐기월드",2023-10-14~2023-11-12,구캔갤러리,기타,누구나,"성인 7,000원(음료포함) 학생 5,000원(음료포함) 평일 오전10시-오후3시까지 일괄 5,000원(음료포함)",도우도우 x 메롱해치 x 냐기월드,,,http://www.goocan.co.kr/23/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16454148&t=board,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=96d6225691774d22b524701b0076b1e0&thumb=Y,2023-09-26,시민,00:00.0,00:00.0,기타,37.50904922,126.8869873,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143514&menuNo=200009
149,축제-문화/예술,,[서울대공원] 제8회 동물원 밖 동물원,2023-10-14~2023-10-29,서울대공원 일대,서울대공원,누구나,무료,,,,https://grandpark.seoul.go.kr/main/ko.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=78f92f5bab9f42adb421911cdf914d77&thumb=Y,2023-10-01,기관,00:00.0,00:00.0,기타,37.43643055,127.0140984,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143561&menuNo=200010
150,교육/체험,노원구,[서울시립과학관] 가족과 함께하는 바이오랩 (10월),2023-10-14~2023-10-28,서울시립과학관 3층 1교육실,서울시립과학관,초등4학년 이상~가족,"1인당 10,000원",,,,https://science.seoul.go.kr/program/science/read?menuId=14&progMstId=666,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=024fa47d10bc4198a5cbdc90e90b93ce&thumb=Y,2023-09-13,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.64199411,127.0774371,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143307&menuNo=200011
151,교육/체험,서초구,[2023 클래식악기 탐구생활] 10월 프로그램,2023-10-14~2023-10-28,서리풀악기거리 내 악기공방 및 서리풀청년아트센터,서초문화재단,서초구 소재 초등학교 재학 중인 초등학생 및 학부모,,,,,https://seoripulac.or.kr/modules/board/bd_view.html?no=72&id=notice&mc_code=1310&or=bd_order&al=asc,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=33a653d4fa974272be7c728bbe9f68d6&thumb=Y,2023-08-29,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.48595153,127.011561,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143053&menuNo=200011
